sentiment,review_body,product_category
0,This is a beautiful shirt  however the cut and drape were off. i'm only 104 pounds  but this top made me look pregnant. the fabric jutted out at the front. it's a shame  because it really is lovely. i sent it back.,Blouses
0,Cute shirt but no worth full price for sure. runs small in the bust. and i am not busty at all. definitely order up a size. i am returning mine  however  because of size and price.,Blouses
0,"Wish someone warned of the navy one being not as pictured!! i ordered the navy because the crocheted part appeared to be more intricate than the ivory. in reality the navy knit is just like the ivory. it seems well made but very delicate. i'm not a fan of tops (especially pricey ones) that require a camisole but this top is a very ""retailer"" piece so most likely i will keep it  just a bit disappointed.",Blouses
0,"I really liked the look of this top online  but when it came i had a couple of issues with it. first  when i tried it on i found the underarms to be a little snug (i normally wear a 10/m  and that's what i ordered). it makes raising my arms tough  and as a teacher  i need to be able to lift my arms above my waist. secondly  my husband's first reaction was that it ""looks like pajamas."" the abstract floral/stripe gets a little lost.  on the other hand  the color palette is very pretty and the qual",Blouses
0,First off the prints are gorgeous - i ordered three. i wanted to love them but unfortunately i found them short and wide. so back they go..,Blouses
0,I saw this top online and had to buy it immediate (which is rare for me). it looked loose and forgiving but had a polished look. it didn't disappoint when i tried it on. however  the straps are a bit loose and will need to be altered. the linen fabric can be rough or itchy  but still a gorgeous top!,Blouses
0,"Tried this lovely with high waste  wide leg  black flowy pants. everything i could hope for and more  but not quite!    size: blindly ordered size 6. i'm usually a small  occasionally xs in retailer brands like floreat and akemi+kin. i'm 5'5"" tall  130 lbs  34d  35-29-37  long torso  narrow shoulders  and short arms.    fit: size 6 had just enough space through the bust. the lace edged sleeves were roomy and just reached my wrists. the shoulders were just right. extra fabric ballooned out around t",Blouses
0,Wanted to love this one so badly but didn't work for me. just looks really wide on me -- looks amazing on the model though!,Blouses
1,I was checking out at my local retailer when one of the salespeople held up this top and said someone had just returned it.  they were talking about how cute it was (they didn't have it in the store).  i asked what size it was and it was a medium  so i said i want to try it on.  after trying it on  i fell in love  it is so cute  the cut fit great.  it is a little big but the small might have been too snug in the bust.  if you are in between sizes  you can probably size down.  i wore it yest,Blouses
1,I had to go up one size  but i love this blouse! dressy enough for work  and you can make it casual with jeans. tight across the chest  but the next size up fit perfect!,Blouses
1,This shirt is very flattering to all due to the adjustable front tie. it is the perfect length to wear with leggings and it is sleeveless so it pairs well with any cardigan. love this shirt!!!,Blouses
1,A beautiful classic!  love the denim fabric in such a pretty style.  this top has a more flattering fit than appears in the pics.  the fabric is soft and the fit very flattering.  ordered my usual size medium and fits perfectly........very true to size.,Blouses
1,Beautiful summer top and so versatile! it's definitely worth it.,Blouses
1,"Cute top! the bright red crochet shoulders and back add the perfect pop of color to the light blue pinstriped front. it's a little loose and boxy around the bust area but overall i think it's a flattering shape. i got the regular s and don't find it too short. for reference i'm 5'2""  134 lb  34b. i often wear petite sizes but due to other reviews mentioning that the top is short i ordered the regular size and am happy with the length and fit.",Blouses
1,This blouse is sumptuous! the fabric is soooo soft  embroidery beautiful  fit flattering. sadly i returned it due to the color. i mostly shop on-line due to time restriction  and the picture looks to be a winter white to me. it is a light yellow color  most pleasing with the cobalt embroidery. alas  any shade of yellow makes my skin look jaundice - so back it had to go.,Blouses
1,Ordered my usual medium. it swallowed me. have returned to store and they ordered me a small to try. very cute comfortable top,Blouses
1,Really like this blouse but am returning for a larger size. much too tight in the upper arms and somewhat tight in the chest - overall i like it.,Blouses
-1,"I was so excited for this dress.. but sadly it did not meet expectations. the gauze fabric already had several snags/pullers in it. the underslip was very short and just cleared my derriere.(i'm 5'7"") i normally take a 10/12 and ordered this in a l.. it was somewhat clingy in the hip area but yet bulky on top. also  i like to have the first button open  but you could then see the v neck of the underslip and it looked hokey. it's definitely a thicker material than the previous plaid tunic holding",Dresses
-1,Looks much nicer in the photo. i expected a much higher quality fabric. this fabric truly felt cheap. i expected a nicer dress for the price. the fit was unflattering on me. sent it back,Dresses
-1,"There's something majorly wrong with the way the armholes are cut. i can't move my arms in this dress. otherwise the fit was fine. the a line cut of the dress is great if ur trying to hide a few pounds. other than that the does nothing for your figure. i found this dress to be true to size in an xsp im 107lbs and 5'1"". don't buy it. i know it's tempting with the sale price.",Dresses
-1,I can't believe how small this thing runs. beyond small. it's almost insulting because the dress is just so gorgeous you really want it to work  but there's no way it's going to when the l is actually a s. so sad to return this beauty.,Dresses
-1,I grabbed this dress to try on in my usual size  because i needed to see what the hype was about this style of dress  and it left me puzzled.  the print was pretty  but no amount of tailoring could save it for me.  it was wearing me.  maybe it could wear three of me.  i feel like this is a way for clothing manufacturers to cut corners  by making a garment without details (no installing more time consuming zippers  buttons or snaps  and making something that fits a wide range of sizes because it,Dresses
-1,I found the fit of this dress odd. i typically wear a 6 or 8 in dresses. the 6 fit across the chest but the armholes were large so wearing a bra would be a challenge. i am a 34c so i need some type of support. i also thought the fabric was a bit flimsy for the price. i am a huge retailer fan and usually leave glowing reviews but sadly i left this one in the store.,Dresses
-1,I was disappointed with the style and quality of this dress. it poofs out funny in the waste and it just looks very unflattering. i'm sending it back.,Dresses
-1,"Too much material everywhere. i am 122lbs 5'4"" and i ordered an xs as usual. i was overwhelmed in a blanket of knitted material of muted colors. nice green slip  though. i will return it asap. this is super-ugly.",Dresses
-1,This dress comes with a built in fupa. literally there is extra material at the lower abdomen that sticks out and is very unflattering.,Dresses
0,This immediately caught my eye in the neutral pattern  and the fabric is actually quite nice. the fit is at least a size or two too large though  with the bust being way too large for me even sizing down. my normal 4 was big everywhere  and the 2 was still big in the chest  but fit everywhere else. the belt is handy for cinching in some of the loose areas  but the top section just didn't work for me. maybe better for someone better endowed?,Dresses
0,The lower part of dress bunches where buttons are  so the dress doesn't look flushed from top to bottom. i ended up returning it.,Dresses
0,This dress is really beautiful. very well made and high quality fabrics. unfortunately  it is cut very narrow. i am between sizes  ordered up and still felt like it was at least a size too small. i think if you have any curves in your midsection that this dress is going to be a challenge. if you are lean and straight then this will look great on you.,Dresses
0,"I saw this in that postcard ""catalog"" and it drew my attention immediately  so when i saw it at the store  i knew i would try it on.  this dress is gorgeous - the lace is sturdy and won't easily be caught on things  the chambray is substantial but light. it's put together well and the slip covers greatly. the material isn't stretchy  but it keeps it shape and i like that. i'm 5'7"" and it hit me right at the knee  so it's a good length if you wanted to wear it with a cardigan to work as a spring",Dresses
0,This dress is so so cute. i ordered an xs and it was a bit longer in person than pictured but that's an easy enough fix since i know a good tailor. the problem is that the dress isn't lined. it's made of thin  see-through cotton so it leaves nothing to the imagination. for the price of this dress i would have expected it to be suited for more than just a bathing suit cover-up. without a slip underneath it (if you can find a strapless one) it is unwearable in most social settings. it's such a sha,Dresses
0,I was really pulling for this dress to work because it's beautiful  however the neckline is cut so extremely low that i had to return. it's much higher on the model than in real life. the petite length was still far too long  so additional hemming required  otherwise fit was true to size (5'3  130 lbs  size 6p),Dresses
0,I love the look and feel of  this easy dress. i loved that it comes with a baby blue slip  however i was in between sizes. the medium - a bit too small and the large- just too big. this dress is probably best in a tall thin body type  especially in a madras plaid.,Dresses
0,I really wanted to love this everything about this piece. especially after reading all of the great review i was so excited and looking forward to getting this dress. unfortunately it just did not work out. i ordered a large and it fit fine but the dress did not give me the faltering shape i had read about and was hoping for. it literally just hung on me and made me look wider. sadly i had to return this.,Dresses
0,This dress is super cute - and fits tts for retailer. i ordered my usual size small and it fit me great everywhere  however the arms are much shorter and hit me either wrong  or the model in the picture is just very very small. i'm 5'10  136#  36aa  slim built and the dress fits  but the arms bunch up -- if i ordered a medium the entire dress would be too baggy (and it is a loose fitting shift). bummer  bc it is super cute! also  the material is loose crochet - my dress arrived with a pull. sad fa,Dresses
1,I personally like light garment and simple design for my daily dresses.  it meets my needs.  i personally recommend it to customers.,Dresses
1,I bought this dress for my daughter for her birthday and she loved it! she tells me she has worn it many times and gets compliments each time on both the style and the color (ordered the orange). it's a lovely lightweight knit and is easy to dress up or down  plus it is so comfortable and flattering!,Dresses
1,I am in love with this dress. not too dressy  not too casual and hugs the body in all the right spots. i am 5'7 with curves and this flatters well. i also bought (and adore) the velvet taupe ankle strap shoes they show with them  super in-love with the whole look. dress will look great with booties too. just hope i don't snag the sweater dress  which looks easy to do  because i want to wear this all fall and winter long.,Dresses
1,This dress looked very flattering on me  i say true to size to slightly small. as mentioned in title  the zipper ended up opening in the middle near where the waist is. the lace is soft and fits comfortably  the waist band is the tighter fit. the skirt is less see-through in the store anyway. darker red in person (overall). hoping the one i tired on was a fluke. the skirt has a bit of pleating to it  or atl east it looks like it...    regular size hit me below the knee  almost mid-shin  wasn't t,Dresses
1,This is a great dress! it's comfortable  easy care  and it looks fantastic. i love the bright green color  it's easy to wear alone  casually  or dressed up with cardigans or jackets. for my climate  this is a year-round piece. i can tone down the color and layer for cool seasons  and wear it alone in warm seasons.,Dresses
1,"The design/pattern balances broader shoulders/narrower hips and gives my straighter waist definition.  at 5'1""  size 2 ended mid-knee  but overall felt a little too long (torso length). i normally take 0p or 00p in retailer dresses.  i like the feel of the fabric and the overall playful yet chic look.",Dresses
1,"I bought this dress in the print and the moss color and may very well return for the dark gray. for reference  i am 5'2""  140 lbs. i have been more recently wearing size 6  but a 4 was perfect  so i do think it runs a bit large. this dress has a drawstring that ties in the back and cinches the waist up nicely  and is very flattering. the waist actually hits at the natural waistline and not up on the ribs. the fabric is lightweight and washes well. i washed and immediately hung dry. it was slight",Dresses
1,This is the perfect holiday dress. my best purchase of the season!,Dresses
1,Unique and stylish dress  looks much better on than in the pictures.,Dresses
-1,"I didn't mind the ""scratchiness"" others proclaimed this garment had  but it is made very tight in the arms and across the back. looks great from the front  but uncomfortable.",Fine gauge
-1,I was so excited to try this on in the store  because i've had my eye on it online. unfortunately  it is not like the picture. the material is very thin  almost translucent. i also could not figure out how it get it on! the cape has short sleeves  not long  as it appears in the picture  and the folds of fabric would not drape quite right in the front. love the look of black design on white. hopefully retailer can redo this in a thicker cape for the fall  but for now  i'll skip this one.,Fine gauge
-1,I wanted this sweater to work but sadly it failed. first  the pink was way to sheer for my liking. the sheerness caused a weird color overlap on the stomach area. then the band at the bottom was too tight causing a weird ballooning affect. a shirt underneath could work but it takes away from the beauty of the knit. the soft pink is gorgeous but not good for medium to light skinned folks.,Fine gauge
-1,"The small  zipped and laid flat  measures 16"" across at the bottom of the armholes  11"" at the waist and 18"" from shoulder seam to bottom edge. it's too small for a size 0  and not by just a little! too bad  because it really is very pretty.",Fine gauge
-1,A beautiful shawl but not practical. i was impressed with how elegant/romantic it first felt/looked.  however  after 5 minutes of wear  it would not stay on my shoulders. the design is very awkward and despite several attempts with different tops/tanks underneath  i kept running into the same problem. lovely for the first 5 minutes of wear and then awkwardly/annoyingly wouldn't stay on my shoulders. the neckline is undefined and it just fell off. not a great design. disappointedly returned it.,Fine gauge
-1,I couldn't wait to try this on this sweater.  sadly  it was too large in all ways.  the sleeves are adorable  but the ruffle overwhelmed my arms. this was much longer on me than the model.  it stopped mid-thigh.  the quality seemed fine  but it is a thin sweater.,Fine gauge
-1,Retailer consistently provides unique  sophisticated and quality made clothing. with the exception of an occasional purchase at their sister companies  i shop with them exclusively. i suppose that i can't expect 100% perfection from retailer-but 99% of the time-that's what i get. this is that 1%...this sweater is truly awful! i cannot (or find it very difficult at least) begin to describe what this sweater is like but it is so unlike retailer that  had it not been for the distinct pattern on the front,Fine gauge
-1,"Nice fabric  great color  would be lovely ... on someone with a straight-and-narrow body type. for ladies with curves  take a pass--too much like maternity wear  and not in that elegantly slouchy kind of way. the straight-up ""is she or isn't she"" kind of way.",Fine gauge
-1,This sweater is very long  could be worn as a dress at 5'3 !,Fine gauge
0,I agree with the other reviewers; this sweater was strangly shaped in the waist  in an unflattering way. the rest of it was beautiful though. looks too much like maternity  even in a petite xs  so it's going back.,Fine gauge
0,I want to like this sweater. the color is lovely  more of a grayish blue  and the design is nice. the quality is amazingly good  as it's thick without being too thick and very soft. but the design is odd and quite unflattering! i got the xsmall but it's two big. the sleeves have a very low shoulder so they almost have a wing like look. it doesn't look like it does on this model. the waist area is a lot bigger  so it does sit on your hips  however the sweater isn't slimming cause of the odd shape,Fine gauge
0,I ordered this in the pink color. the fit was fine  but i didn't care for how thin it was. there is lining  which i suppose is there to combat the thinness  but it's only in certain places. the lining should have been all over. maybe if i had gotten this in blue  it wouldn't have been so bad.,Fine gauge
0,This top is pretty and i'm sad it didn't work out for me. i'm 5'9  145 lbs and i found it to be short and boxy in the torso (tried on a s  m and l). also material in the front is super staticky - i hate that feeling.,Fine gauge
0,I saw that there was metallic detail when i ordered it  but i wasn't prepared for the entire thing to be metallic. it fit tts  but wasn't what i was looking for.,Fine gauge
0,After reading the reviews i decided to give this a try  but it just didn't work on me. i'm 5'8  smaller on top  and usually wear m in retailer sizes. this was ok in the shoulder and arm area but a little too snug for me in the hips. also  the diagonal striping made my boobs disappear and the pattern at the bottom emphasized my tummy and rear. not exactly the look i was going for. back it goes.,Fine gauge
0,Bought this item on sale and was very disappointed in the quality for the cost. fabric feels cheap  like it will snag easily and will stretch out quickly. did not flatter the female form- felt like a burlap sack. gorgeous blue color but not worth the price tag. returned it.,Fine gauge
0,Looks great on the model  but if you're curvy it looks very frumpy.,Fine gauge
0,I love the back detail but doesn't feel that comfortable on. i bought in green. it's fitted so get size larger if you plan to layer up. i'm 107 and bought xs size. i should have ordered the s.,Fine gauge
1,I love the idea but it is more of a over sweater than to wear by itself like model... too big/baggy,Fine gauge
1,"I ordered this in the ""chocolate"" color which is really a pinkish/taupe-brown. but i love the color; it's neutral yet not too pale  just the right hue to go with almost any color and the style works with any outfit  from jean shorts to a dress. i love how soft the knit is. although i worry it might be prone to snag  especially the open-weave sections. i also love that the sleeves are full length  fitted enough to be pushed up on my forearms yet i can pull them down past my wrists when i am chill",Fine gauge
1,Couldn't resist the polka dots! very cute and stylish cardi. since i'm short waisted this cropped style is perfect for me. i tried on the xs and small and while there wasn't a huge difference i went with the small since it had a bit more room. it's pricey so i waited for a sale to purchase!,Fine gauge
1,Perfect for dressing up or dressing down with a pair of jeans. this pullover can be worn during all four seasons of michigans weather  which is a bonus for me. it can also be paired with heels  booties or flats making it extremely versatile.,Fine gauge
1,I ordered this because it looked to be a good fit for my casual lifestyle. and it doesn't disappoint! it's cozy  lightweight but warm  flows well and looks great tied or worn loose. i ordered my regular size large in the grey. it fits as shown  just a bit longer because i'm short. the color is more of a blue gray with white striations that are well placed. it's really striking for such a casual piece. very pretty. highly recommend.,Fine gauge
1,I was pleased with the fabric and lace  and the arms fit me nicely. the only problem was that the bottom of the sweater was very boxy and not flattering. i am having the sides taken in to fix.,Fine gauge
1,"Great fabric and design  beautiful pattern with flattering angled bottom hem and fringe. so soft and comfortable.  the hood is cuter left down. perfect transitional piece for fall.  i got the neutral color and it is so easy to wear.  i'm 5'3"" and got the s/xs size and feel that it is still wearable.  i second the opinion one reviewer mentioned about wearing a belt through the slit over the front part. definitely works well and makes for an effortlessly stylish look.",Fine gauge
1,I love how soft and cozy this sweater is. the addition of some cashmere in the yarn makes all the difference. the red color is beautiful also  perfect for the holidays. flattering cut in the back (it dips down to cover your bum) and the pointelle details are very pretty. fit was tts,Fine gauge
1,Very soft  clean feel. i got this in pink and received so many compliments. perfect to layer on top of your favorite tee or tank. i wish they had it in navy as well.,Fine gauge
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
-1,The bra is comfortable and the design is good. however  the sizing is way off. i am a 34c and the small fits well with minimal support. not sure about quality. this one might have to go back :(,Intimates
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
-1,Material is strange. triangle top is funky. this is just not awesome in any way.,Intimates
-1,"Loved how this draped and im super petite 5'1""(32b bust) and this was seriously one of the most ill fitting items i have every owned. i purchased the pxs and it was huge. i hope this has a better fit as the other reviewers seem to have a more positive review. i was just appalled as to how bad the measurements were off. unfortunately the straps are not adjustable so this went below my chest. too sad retailer  please get the fit right!!",Intimates
-1,It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,Intimates
-1,This bra runs very small  and is hard to get on and off. i think if i went a size up i would be happier.,Intimates
-1,"Got this in the sky color. returned it because the top is way too sheer for me  if you know what i mean. i wanted a pretty gown i can wear without a robe in front of my kids. no can do. also  for the price  material just felt flimsy & cheap. it does run small ~ the medium was good on me and i'm 5'2""  114#  34b",Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
0,I wanted to love these because they are so pretty and come in lots of colors  but after only a few minutes of wearing them  i was having to pull them out of my bottom! why does women's underwear so frequently ride up? i normally wear a size 4/28  and ordered these in a m  but i guess they were still too small  which seems unreasonable to me. they are soft and pretty  but i will not be ordering more.,Intimates
0,When ordering this product  i thought it was strange that the mediums were sold out. i went with the small which is generally what i wear. however  these run small and i see why the medium ran out. they are pretty  however  i wish they made them more true to size.,Intimates
0,If your hips are bigger than a size 6 us you can't fully close this robe. the model must be wearing the larger of the two sizes to have such a nice oversized fit. the fabric is soft and lux and amazing  but the weird dart in the back and the closure is right over my sadly size 8 hips and butt. if i was taller and thinner i would have kept this and worn it every day.,Intimates
0,I love and live in these but the recent scoop tanks i purchased were thin  not as great. so i want to recommend them because they are really versatile but the quality has deminished.,Intimates
0,"The fit is gorgeous  but i didn't realize it was completely transparent. when it says ""mesh"" it means ""mesh""! i was thinking the ""mesh"" part was on the bottom. because of how it is cut  high on the shoulders  you can't wear a cami underneath to provide coverage. very cute  but not practical.",Intimates
0,I really was looking forward to this piece but unfortunately it was too small to even pass through my head nevertheless i couldn't even get both arms in. i got a size small and probably needed a large; but as far as the quality and color  it's really pretty! just go up a size or two if anything and try it out.,Intimates
0,This is pretty and provides coverage with a bit of support for wearing around the house. i'm a 34b so i ordered the small- it still had room in it so i tightened the straps and used the tightest hooks on the back  and that makes it fit ok. i bought it just to wear at home since i was not expecting a great deal of support or shaping  and while it feels ok it is not super-comfy- it's a bit scratchy around the edges. i was going to buy another color if i loved this  but as it is i will keep the one,Intimates
0,I ordered this in black and white  thinking you can never have enough silk camisoles.     i returned the black because it looked like polyester. the white is actually a cream/ivory  not bright white as pictured. it is also not the best feeling quality  however the fit is good  and true to size.,Intimates
0,It is a very pretty bra. light weight and beautiful lace. however  i have yet to find a t-back that does not make me feel like i am going to spill out. to me it ran small. i now know to get a 34 instead. i am working on losing weight  perhaps that might help with the fit?,Intimates
1,Cute little sleep mask! the elastic band is wide so it doesn't ever feel like it's digging into your head. does a very good job keeping out light.,Intimates
1,I knew when i bought this bralette that there was something special about it...the intricacy of the design is really pretty as is the style...but seriously - every single time i wear this bralette out (paired with a cute top or dress) i get tons of compliments from all of my friends. i never thought a bralette would spark so much conversation! aside from that it is super durable...i've had it for a year now  have washed it several times  and it is not stretched out at all or frayed aka it is gre,Intimates
1,Hands down most comfortable bra ever!,Intimates
1,This is an awesome bra! it has a reinforced cup underneath (although not an underwire)  which i like. i was a little worried that it'd be huge  as i'm on the smaller side of the natori 36b in other bras  but it fits well and seems like it would accommodate b or c cup ladies. the lace is pretty and it is well made. i want more colors!,Intimates
1,I have this tank in all colors...it is superb for layering...comfortable and i love that you can reverse it for a different neckline...and it's long enough!,Intimates
1,I purchased this tank for the interesting open neck not realizing that the straps are elastic. i love it. the material is super soft and it fits nicely. snug but not too tight. the straps are wide enough to cover bra straps and the neckline being a little wider is really flattering. i got the black one but i am going to get more colors! great buy!,Intimates
1,"This is beautiful and fits perfect. it's even prettier in person  and extremely comfortable and high quality. i'm 5'3"" and it hits right above the knee. the straps are adjustable and fits true to size. i bought an xs and it fits perfect. must buy for a sweet little night gown!",Intimates
1,I've been looking for bralettes that provide some support but not binding/tight for night time and casual wear. this is a light weight bra  could be a little more supportive. pretty color  with nice lines. only downside is the retailer tag on the back - itchy (i need to remove it.),Intimates
1,I got these pretty boy shorts because i was looking for a panty that was comfy for bedtime--pretty but with a fair amount of coverage. i am really happy with them. wonderful with a tank top or chemise. i think the ruffles are a bit bulky for skinny jeans  but i love them for sleeping. they feel special.,Intimates
-1,The button fell off when i took it out of the bag  and i noticed that all of the thread had unraveled. will be returning :-(,Jackets
-1,I'm returning this jacket. i tried it on after it was delivered  and was happy with the weight  cut  and color  although it's more dusty mauve than it looks in the picture. however  the stitching and the zipper are of such poor quality that i doubt  it will last very long. i actually can't get the zipper to zip at all. it's very rough and lightweight  and i'm afraid if i keep trying to force it i'll just end up breaking it. sorry to say yet another retailer item turns out to be poor quality.   thi,Jackets
-1,This is a beautiful vest. i love the color-blocking  the modern and structured style  and its versatility.  i bought it with a defective item discount because there were some stains. i promptly took it to the dry cleaners and was informed that the black would bleed onto the white paneling if they did a full wash. they spot-cleaned it  and it did bleed. although the tag says to dry clean this baby  the black dye will bleed to the white fabric. i'll be taking it back into the store today for a ref,Jackets
-1,A good part of my closet is filled with retailer clothes. i mix them with my basics  scarves and jewelry. so  i immediately thought of a dozen ways this kimono could jazz up anything from skinny jeans to slip dresses  even though i felt it was pretty pricey. when it arrived  i was more than disappointed in the cheapness of the fabric. it does nothing for any of my intended clothes  so it is going back asap.,Jackets
-1,This sweater/jacket looks just like the photo in real life  but the inside is so scratchy. i physically recoiled when trying it on as the interior of the sleeves feels like sandpaper. unlined and uncomfortable. no thank you!  should you choose to proceed  i found the fit tts. i'm 5'8  wear an 8/10 and the medium worked for me.,Jackets
-1,Should have listened 2 a previous review! while this is a very well made garment  it really does remind me of a bathrobe  and will be returning :( too bad because the fabric and stripes are really great. also...this runs very large. the extra small was more like a medium.,Jackets
-1,This is not a kimono. it's a cocoon. there's a huge difference.  it's also not made very well.,Jackets
-1,I wish this fit me better. i love the inside fur. it is extremely soft but it doesn't look flattering at all. it makes my shoulders look really broad and it was shorter in the length than i wanted. it wanted it fit over my butt (or cover half) and it sits a little below my waist. unfortunately i am taking it back. great idea though.,Jackets
-1,This fell apart after wearing it once. for the price  it should hold up better. it's too delicate.,Jackets
0,The color and design/style are cute but i found this to be too oversized. if you want to layer it  then it might be for you  but i was hoping for more of a tailored look.,Jackets
0,The material is so soft and cozy. there is just enough padding to keep me warm all year round in southern california. but  i ended up leaving the store without this vest  bc 1)the cut is slightly boxy.  2) every vest had different color variations. you definitely should go into the store to check it out. the ones i saw made the vest have cheap pattern of wide stripes  not an even vintage fade as shown. i'm so sad as everything else is perfect. fits true to size,Jackets
0,This was a fail for me. although i ordered size large it barely fit my midsection when tied and was too small in the waist. the fabric is nice though. best on thinner frames than mine.,Jackets
0,I tried this on in the store yesterday and i wanted to buy it very much. the jacket would work well for many sleveless tops or dresses all summer  and would work in an office. but  on me  the unusual cut of the arms emphasized the worst part of my arms (saggy or fat area) in a comical manner. if they tried to design a garmet to make arms look bad  the couldnt have done it better. further  the extra material against the body added bulk at my narrowest point (i am hourglass). again  not flattering,Jackets
0,This is a very pretty jacket. light weight and perfect for spring/fall. i had ordered it online as it was not in my retailer store. i did end up returning it though. it does run large  i am usually a l/xl and based on previous reviews i did size down and get the l. the pockets for me were a little big an pushed out having an unflattering look! i was sad to have to send this one back! i was hoping to love it! someone smaller might love it!!,Jackets
0,Was looking more for a tailored  blazer like chino jacket. this was just too bulky. usually wear a 00p  ordered the 00  and could have put a chunky sweater underneath. 5'4''  110 lbs  32c for reference.,Jackets
0,I was searching for the perfect large comfy sweater for the cold winter weather ahead and i thought this would be it. it looks so cute in the pictures but when i received in by mail it wasn't what i was searching for. this sweater  like on the model  is quite large. although i wanted a large sweater  the fit of this one didn't fit well on me. it has more of a boxy feel to it. i usually wear a medium  but went with a small because i expected this to fit a little large and it still engulfed me. i,Jackets
0,The fabric is beautiful  even the lining is lovely. i ordered the green color in a large  as i'm curvy and have long arms. but it just doesn't lay correctly at all - the collar has no structure  even though it's a lapel  and the side vents just pop out - the jacket added about 10lbs  and just looked frumpy. it looks much more tailored on the model. too bad  as i have been looking for a velvet blazer in the color for a long time.,Jackets
0,"How can some reviewers say this jacket is true to size  yet others say it runs small? i think it's because this jacket is cropped. by the time i took advantage of the fall perks 20 percent discount  the xs peach was sold out so i ended up ordering size s. i also got the xs gray to compare. sure enough  the xs looks better but is cropped on me. for ref  i'm 5' 5""  32a  115 lbs. i don't really need another almost black jacket so i'm either sized out or have to exchange for xs peach to wear with dr",Jackets
1,I saw this on one of the gals at my local retailer and fell in love. it is the coolest bomber and i instantly fell for it. i went with my normal l and i will be wearing this all fall and winter long it's just so unique and eye catching,Jackets
1,This jacket looked so good and felt so comfortable on- i almost didn't send back the first one that arrived with a little bit of damage at the bottom of the inner zippered sweatshirt  but i did exchange it and am just as happy with the fit and feel of the second one. it hangs well no matter how you fasten the front  or leave it open. great looking  casual but stylish and neat. a good grey  and a good blue.,Jackets
1,The collar from a distance looks like it has seen better days (very scruffy)  but it is so silky soft. and the slight sheen to the jacket is a nice twist to an ordinary army type. the fabric is definitely thinner than i expected  but it&#39;s also softer and better for layering.,Jackets
1,The material is velvety smooth  and not quite so pink as pictured on the website. more of a dusty brown rose. well made  nice fit. flattering on my petite frame. a wonderful third piece to complete or elevate an outfit.,Jackets
1,I bought this jacket in a regular and returned it to the store where they had a petite  it is lovely.  i live in ca so it is perfect for an evening out.... remember not to buy this for warmth but a light cover up.  it makes an outfit out of anything else you might want to wear.  looks great with black under it or off white.... also looks great with the beautiful soft pinks that are out this season... or cranberry.... you will love it...,Jackets
